url,description,image,price
/http:////www.ebay.com//itm//8-5-D2-Steel-Blade-Tactical-EDC-Folding-Pocket-Knife-Ball-Bearing-Pivot-Axel-//174010284341?hash=item2883d23935/,"8.5"" D2 Steel Blade Tactical EDC Folding Pocket Knife Ball Bearing Pivot Axel",/http:////thumbs2.ebaystatic.com//m//mpVcQOFElKtIj0-p0BFIJJA//140.jpg/,$49.98
/http:////www.ebay.com//itm//Medieval-Leather-Cell-Phone-Belt-Pouch-Bag-Purse-Horn-Toggle-SCA-LARP-Cosplay-//202609373546?var=&hash=item750a5b7e32/,Medieval Leather Cell Phone Belt Pouch Bag Purse Horn Toggle SCA LARP Cosplay,/http:////thumbs3.ebaystatic.com//pict//2026093735464040_1.jpg/,$16.98
/http:////www.ebay.com//itm//Historical-Roman-Dagger-Short-Sword-Viking-Norse-Fantasy-Valkyrie-Knife-Sheath-//202382815955?hash=item2f1ef4b2d3/,Historical Roman Dagger Short Sword Viking Norse Fantasy Valkyrie Knife Sheath,/http:////thumbs4.ebaystatic.com//m//m_IVDjfhAz-y38WZIkMx1ig//140.jpg/,$14.98
/http:////www.ebay.com//itm//38-Anime-Fantasy-Samurai-Katana-Sword-Cosplay-Costume-Video-Game-Fuzzy-Guard-RD-//352733820539?hash=item522092f67b/,"38"" Anime Fantasy Samurai Katana Sword Cosplay Costume Video Game Fuzzy Guard RD",/http:////thumbs4.ebaystatic.com//pict//3527338205394040_0.jpg/,$24.98
/http:////www.ebay.com//itm//Ryujin-T10-Steel-Unokubi-Zukuri-Handmade-Samurai-Katana-Sword-Rayskin-Wrap-Saya-//352702370673?hash=item521eb31371/,Ryujin T10 Steel Unokubi Zukuri Handmade Samurai Katana Sword Rayskin Wrap Saya,/http:////thumbs2.ebaystatic.com//m//mfR6rmK7e9raDRVKdqQaYOA//140.jpg/,$339.98
/http:////www.ebay.com//itm//Caribbean-Pirate-Cutlass-Sword-Jack-Sparrow-Leather-Medieval-Belt-Hanger-//352471017151?hash=item5210e8e6bf/,Caribbean Pirate Cutlass Sword Jack Sparrow with Leather Medieval Belt Hanger,/http:////thumbs4.ebaystatic.com//m//mFTSq6uoQCi-1CUfs1Rqw0g//140.jpg/,$74.98
/http:////www.ebay.com//itm//Wood-Round-Deluxe-Display-Plaque-Hanger-Medieval-Crusader-Long-Sword-Dagger-//202636691610?hash=item2f2e16889a/,Wood Round Deluxe Display Plaque Hanger for Medieval Crusader Long Sword Dagger,/http:////thumbs3.ebaystatic.com//m//mEnlB7PTv6Wz2liOHI2dvSw//140.jpg/,$18.98
/http:////www.ebay.com//itm//Folded-Steel-Damascus-Handmade-Fixed-Blade-Drop-Point-Knife-Silver-Inlay-Sheath-//352768802396?hash=item5222a8be5c/,Folded Steel Damascus Handmade Fixed Blade Drop Point Knife Silver Inlay Sheath,/http:////thumbs1.ebaystatic.com//m//m-Nwrcg7Whsf40HtGOg_NEQ//140.jpg/,$79.98
/http:////www.ebay.com//itm//42-Fantasy-Zelda-Master-Foam-Sword-Blue-Winged-Guard-Handle-Foam-LARP-Cosplay-//202609425953?hash=item2f2c767e21/,42” Fantasy Zelda Master Foam Sword Blue Winged Guard Handle Foam LARP Cosplay,/http:////thumbs2.ebaystatic.com//m//m77b32YH1lVwMkDfpB3cnAQ//140.jpg/,$19.98
/http:////www.ebay.com//itm//Medieval-Crusader-Historic-Dagger-Short-Knights-Templar-Sword-Scabbard-//173001268459?hash=item2847addceb/,Medieval Crusader Historic Dagger Short Knights of Templar Sword With Scabbard,/http:////thumbs4.ebaystatic.com//m//mx9DCOrzAZpAlAVDRulFW5Q//140.jpg/,$22.98
